"","Country Name","Country Code"
"1","Afghanistan","AFG"
"2","Albania","ALB"
"3","Algeria","DZA"
"4","American Samoa","ASM"
"5","Angola","AGO"
"6","Antigua and Barbuda","ATG"
"7","Argentina","ARG"
"8","Armenia","ARM"
"9","Aruba","ABW"
"10","Australia","AUS"
"11","Austria","AUT"
"12","Azerbaijan","AZE"
"13","Bahrain","BHR"
"14","Bangladesh","BGD"
"15","Barbados","BRB"
"16","Belarus","BLR"
"17","Belgium","BEL"
"18","Belize","BLZ"
"19","Benin","BEN"
"20","Bermuda","BMU"
"21","Bhutan","BTN"
"22","Bolivia","BOL"
"23","Bosnia and Herzegovina","BIH"
"24","Botswana","BWA"
"25","Brazil","BRA"
"26","British Virgin Islands","VGB"
"27","Bulgaria","BGR"
"28","Burkina Faso","BFA"
"29","Burundi","BDI"
"30","Cambodia","KHM"
"31","Cameroon","CMR"
"32","Canada","CAN"
"33","Cayman Islands","CYM"
"34","Central African Republic","CAF"
"35","Chad","TCD"
"36","Chile","CHL"
"37","China","CHN"
"38","Colombia","COL"
"39","Comoros","COM"
"40","Costa Rica","CRI"
"41","Croatia","HRV"
"42","Cuba","CUB"
"43","Cyprus","CYP"
"44","Denmark","DNK"
"45","Djibouti","DJI"
"46","Dominica","DMA"
"47","Dominican Republic","DOM"
"48","Ecuador","ECU"
"49","El Salvador","SLV"
"50","Equatorial Guinea","GNQ"
"51","Eritrea","ERI"
"52","Estonia","EST"
"53","Eswatini","SWZ"
"54","Ethiopia","ETH"
"55","Fiji","FJI"
"56","Finland","FIN"
"57","France","FRA"
"58","French Polynesia","PYF"
"59","Gabon","GAB"
"60","Georgia","GEO"
"61","Germany","DEU"
"62","Ghana","GHA"
"63","Gibraltar","GIB"
"64","Greece","GRC"
"65","Greenland","GRL"
"66","Grenada","GRD"
"67","Guam","GUM"
"68","Guatemala","GTM"
"69","Guinea","GIN"
"70","Guinea-Bissau","GNB"
"71","Guyana","GUY"
"72","Haiti","HTI"
"73","Honduras","HND"
"74","Hungary","HUN"
"75","Iceland","ISL"
"76","India","IND"
"77","Indonesia","IDN"
"78","Iraq","IRQ"
"79","Ireland","IRL"
"80","Israel","ISR"
"81","Italy","ITA"
"82","Jamaica","JAM"
"83","Japan","JPN"
"84","Jordan","JOR"
"85","Kazakhstan","KAZ"
"86","Kenya","KEN"
"87","Kiribati","KIR"
"88","Kosovo","OWID_KOS"
"89","Kuwait","KWT"
"90","Latvia","LVA"
"91","Lebanon","LBN"
"92","Lesotho","LSO"
"93","Liberia","LBR"
"94","Libya","LBY"
"95","Lithuania","LTU"
"96","Luxembourg","LUX"
"97","Madagascar","MDG"
"98","Malawi","MWI"
"99","Malaysia","MYS"
"100","Maldives","MDV"
"101","Mali","MLI"
"102","Malta","MLT"
"103","Mauritania","MRT"
"104","Mauritius","MUS"
"105","Mexico","MEX"
"106","Moldova","MDA"
"107","Mongolia","MNG"
"108","Montenegro","MNE"
"109","Morocco","MAR"
"110","Mozambique","MOZ"
"111","Namibia","NAM"
"112","Nauru","NRU"
"113","Nepal","NPL"
"114","Netherlands","NLD"
"115","New Caledonia","NCL"
"116","New Zealand","NZL"
"117","Nicaragua","NIC"
"118","Niger","NER"
"119","Nigeria","NGA"
"120","North Macedonia","MKD"
"121","Northern Mariana Islands","MNP"
"122","Norway","NOR"
"123","Oman","OMN"
"124","Pakistan","PAK"
"125","Panama","PAN"
"126","Papua New Guinea","PNG"
"127","Paraguay","PRY"
"128","Peru","PER"
"129","Philippines","PHL"
"130","Poland","POL"
"131","Portugal","PRT"
"132","Puerto Rico","PRI"
"133","Qatar","QAT"
"134","Romania","ROU"
"135","Rwanda","RWA"
"136","Samoa","WSM"
"137","Sao Tome and Principe","STP"
"138","Saudi Arabia","SAU"
"139","Senegal","SEN"
"140","Serbia","SRB"
"141","Seychelles","SYC"
"142","Sierra Leone","SLE"
"143","Singapore","SGP"
"144","Slovenia","SVN"
"145","Solomon Islands","SLB"
"146","Somalia","SOM"
"147","South Africa","ZAF"
"148","South Sudan","SSD"
"149","Spain","ESP"
"150","Sri Lanka","LKA"
"151","Sudan","SDN"
"152","Suriname","SUR"
"153","Sweden","SWE"
"154","Switzerland","CHE"
"155","Tajikistan","TJK"
"156","Tanzania","TZA"
"157","Thailand","THA"
"158","Togo","TGO"
"159","Tonga","TON"
"160","Trinidad and Tobago","TTO"
"161","Tunisia","TUN"
"162","Turkey","TUR"
"163","Turkmenistan","TKM"
"164","Turks and Caicos Islands","TCA"
"165","Uganda","UGA"
"166","Ukraine","UKR"
"167","United Arab Emirates","ARE"
"168","United Kingdom","GBR"
"169","United States","USA"
"170","Uruguay","URY"
"171","Uzbekistan","UZB"
"172","Vanuatu","VUT"
"173","Vietnam","VNM"
"174","World","OWID_WRL"
"175","Zambia","ZMB"
"176","Zimbabwe","ZWE"
