"","Country Code","Year","Annual CO2 emissions (tonnes )"
"1","AFG",1949,14656
"2","AFG",1950,84272
"3","AFG",1951,91600
"4","AFG",1952,91600
"5","AFG",1953,106256
"6","AFG",1954,106256
"7","AFG",1955,153888
"8","AFG",1956,183200
"9","AFG",1957,293120
"10","AFG",1958,329760
"11","AFG",1959,384571.42
"12","AFG",1960,413883.42
"13","AFG",1961,490797.7
"14","AFG",1962,688594.27
"15","AFG",1963,706735.98
"16","AFG",1964,838550.83
"17","AFG",1965,1006916.53
"18","AFG",1966,1091158.82
"19","AFG",1967,1281865.11
"20","AFG",1968,1223389.69
"21","AFG",1969,941231.98
"22","AFG",1970,1670397.69
"23","AFG",1971,1893931.41
"24","AFG",1972,1531165.69
"25","AFG",1973,1637243.4
"26","AFG",1974,1915677.68
"27","AFG",1975,2124525.68
"28","AFG",1976,1984225.38
"29","AFG",1977,2386745.67
"30","AFG",1978,2155419.66
"31","AFG",1979,2234903.94
"32","AFG",1980,1757021.97
"33","AFG",1981,1979372.53
"34","AFG",1982,2095539.37
"35","AFG",1983,2520091.42
"36","AFG",1984,2822415.06
"37","AFG",1985,3501893.65
"38","AFG",1986,3134071.92
"39","AFG",1987,3114159.9
"40","AFG",1988,2857083.9
"41","AFG",1989,2764887.89
"42","AFG",1990,2602407.59
"43","AFG",1991,2426486.16
"44","AFG",1992,1381521.84
"45","AFG",1993,1333837.11
"46","AFG",1994,1282488.38
"47","AFG",1995,1231139.65
"48","AFG",1996,1165134.92
"49","AFG",1997,1084474.19
"50","AFG",1998,1029461.47
"51","AFG",1999,809568.74
"52","AFG",2000,768195.25
"53","AFG",2001,812074.37
"54","AFG",2002,1064074.85
"55","AFG",2003,1187070.59
"56","AFG",2004,941455.62
"57","AFG",2005,1320250.12
"58","AFG",2006,1643246
"59","AFG",2007,2268343.1
"60","AFG",2008,4198329.64
"61","AFG",2009,6760313.49
"62","AFG",2010,8452224.14
"63","AFG",2011,12226017.38
"64","AFG",2012,10742056.72
"65","AFG",2013,10000414.29
"66","AFG",2014,9789185.57
"67","AFG",2015,10107428.68
"68","AFG",2016,12257907.69
"69","AFG",2017,13014739.66
"70","ALB",1933,7328
"71","ALB",1934,7328
"72","ALB",1935,18320
"73","ALB",1936,128240
"74","ALB",1937,296784
"75","ALB",1938,348080
"76","ALB",1939,432352
"77","ALB",1940,692496
"78","ALB",1941,626544
"79","ALB",1942,743792
"80","ALB",1943,461664
"81","ALB",1944,153888
"82","ALB",1945,120912
"83","ALB",1946,483648
"84","ALB",1947,926992
"85","ALB",1948,703488
"86","ALB",1949,1014928
"87","ALB",1950,296784
"88","ALB",1951,403040
"89","ALB",1952,373728
"90","ALB",1953,414032
"91","ALB",1954,501968
"92","ALB",1955,663184
"93","ALB",1956,839056
"94","ALB",1957,1505904
"95","ALB",1958,1201792
"96","ALB",1959,1443616
"97","ALB",1960,2022528
"98","ALB",1961,2279008
"99","ALB",1962,2462208
"100","ALB",1963,2081152
"101","ALB",1964,2015200
"102","ALB",1965,2172752
"103","ALB",1966,2550144
"104","ALB",1967,2678384
"105","ALB",1968,3070432
"106","ALB",1969,3242640
"107","ALB",1970,3740944
"108","ALB",1971,4349168
"109","ALB",1972,5638896
"110","ALB",1973,5287152
"111","ALB",1974,4341840
"112","ALB",1975,4590992
"113","ALB",1976,4946400
"114","ALB",1977,5715840
"115","ALB",1978,6488944
"116","ALB",1979,7580816
"117","ALB",1980,5166240
"118","ALB",1981,7335328
"119","ALB",1982,7302352
"120","ALB",1983,7624784
"121","ALB",1984,7818976
"122","ALB",1985,7873936
"123","ALB",1986,8049808
"124","ALB",1987,7437920
"125","ALB",1988,7320672
"126","ALB",1989,8976800
"127","ALB",1990,5510656
"128","ALB",1991,4283216
"129","ALB",1992,2513504
"130","ALB",1993,2333968
"131","ALB",1994,1923600
"132","ALB",1995,2084816
"133","ALB",1996,2015200
"134","ALB",1997,1542544
"135","ALB",1998,1751392
