"","Country Code","Year","Primary energy consumption (TWh)"
"1","AFG",1980,7.773
"2","AFG",1981,8.732
"3","AFG",1982,9.135
"4","AFG",1983,11.006
"5","AFG",1984,11.056
"6","AFG",1985,11.043
"7","AFG",1986,11.325
"8","AFG",1987,18.348
"9","AFG",1988,32.497
"10","AFG",1989,31.928
"11","AFG",1990,31.627
"12","AFG",1991,13.651
"13","AFG",1992,8.961
"14","AFG",1993,8.935
"15","AFG",1994,8.617
"16","AFG",1995,7.246
"17","AFG",1996,7.119
"18","AFG",1997,6.799
"19","AFG",1998,6.618
"20","AFG",1999,6.612
"21","AFG",2000,5.777
"22","AFG",2001,4.481
"23","AFG",2002,4.262
"24","AFG",2003,5.041
"25","AFG",2004,4.669
"26","AFG",2005,6.009
"27","AFG",2006,7.286
"28","AFG",2007,9.407
"29","AFG",2008,16.397
"30","AFG",2009,26.808
"31","AFG",2010,33.194
"32","AFG",2011,44.997
"33","AFG",2012,40.273
"34","AFG",2013,32.809
"35","AFG",2014,29.678
"36","AFG",2015,32.917
"37","AFG",2016,35.737
"38","ALB",1980,52.569
"39","ALB",1981,52.85
"40","ALB",1982,53.742
"41","ALB",1983,55.81
"42","ALB",1984,57.064
"43","ALB",1985,57.267
"44","ALB",1986,56.402
"45","ALB",1987,56.775
"46","ALB",1988,57.442
"47","ALB",1989,54.811
"48","ALB",1990,40.289
"49","ALB",1991,32.27
"50","ALB",1992,25.537
"51","ALB",1993,21.771
"52","ALB",1994,20.456
"53","ALB",1995,21.98
"54","ALB",1996,24.616
"55","ALB",1997,22.247
"56","ALB",1998,23.725
"57","ALB",1999,21.708
"58","ALB",2000,27.313
"59","ALB",2001,25.18
"60","ALB",2002,27.144
"61","ALB",2003,32.027
"62","ALB",2004,34.837
"63","ALB",2005,34.45
"64","ALB",2006,32.07
"65","ALB",2007,25.174
"66","ALB",2008,28.165
"67","ALB",2009,32.405
"68","ALB",2010,38.863
"69","ALB",2011,28.64
"70","ALB",2012,29.163
"71","ALB",2013,37.024
"72","ALB",2014,31.828
"73","ALB",2015,33.685
"74","ALB",2016,39.446
"75","DZA",1965,24.761
"76","DZA",1966,29.769
"77","DZA",1967,28.174
"78","DZA",1968,30.244
"79","DZA",1969,33.475
"80","DZA",1970,36.655
"81","DZA",1971,39.674
"82","DZA",1972,44.559
"83","DZA",1973,53.116
"84","DZA",1974,58.82
"85","DZA",1975,70.311
"86","DZA",1976,82.032
"87","DZA",1977,90.164
"88","DZA",1978,113.317
"89","DZA",1979,148.488
"90","DZA",1980,177.097
"91","DZA",1981,215.121
"92","DZA",1982,248.026
"93","DZA",1983,270.925
"94","DZA",1984,260.115
"95","DZA",1985,262.181
"96","DZA",1986,277.446
"97","DZA",1987,285.079
"98","DZA",1988,305.389
"99","DZA",1989,297.028
"100","DZA",1990,314.95
"101","DZA",1991,312.043
"102","DZA",1992,320.191
"103","DZA",1993,297.932
"104","DZA",1994,301.892
"105","DZA",1995,313.11
"106","DZA",1996,309.901
"107","DZA",1997,297.847
"108","DZA",1998,308.311
"109","DZA",1999,311.398
"110","DZA",2000,299.936
"111","DZA",2001,310.801
"112","DZA",2002,321.941
"113","DZA",2003,336.876
"114","DZA",2004,349.734
"115","DZA",2005,366.175
"116","DZA",2006,379.183
"117","DZA",2007,399.601
"118","DZA",2008,423.509
"119","DZA",2009,448.802
"120","DZA",2010,437.402
"121","DZA",2011,464.422
"122","DZA",2012,507.603
"123","DZA",2013,536.956
"124","DZA",2014,585.572
"125","DZA",2015,617.482
"126","DZA",2016,616.819
"127","DZA",2017,623.512
"128","DZA",2018,672.071
"129","DZA",2019,705.04
"130","ASM",1980,1.76
"131","ASM",1981,2.053
"132","ASM",1982,2.933
"133","ASM",1983,1.76
"134","ASM",1984,2.053
"135","ASM",1985,2.053
"136","ASM",1986,1.97
"137","ASM",1987,2.045
"138","ASM",1988,1.988
"139","ASM",1989,2.29
"140","ASM",1990,2.408
"141","ASM",1991,2.408
"142","ASM",1992,2.477
"143","ASM",1993,2.41
"144","ASM",1994,2.348
"145","ASM",1995,2.285
"146","ASM",1996,2.291
"147","ASM",1997,2.348
"148","ASM",1998,2.348
"149","ASM",1999,2.348
