"","Country Code","year","value"
"1","AFG","1960",537777811.111111
"2","AUS","1960",18577668271.9229
"3","AUT","1960",6592693841.18495
"4","BDI","1960",195999990
"5","BEL","1960",11658722590.99
"6","BEN","1960",226195579.35701
"7","BFA","1960",330442817.168859
"8","BGD","1960",4274893913.49536
"9","BLZ","1960",28071888.5622288
"10","BMU","1960",84466654.0801544
"11","BOL","1960",373879363.595386
"12","BRA","1960",15165569912.5199
"13","BWA","1960",30412308.9864012
"14","CAF","1960",112155598.949571
"15","CAN","1960",40461721692.6468
"16","CHE","1960",9522746719.21614
"17","CHL","1960",4.11e+09
"18","CHN","1960",59716467625.3148
"19","CMR","1960",618740988.011405
"20","COL","1960",4031152976.63904
"21","CRI","1960",507513829.994855
"22","DOM","1960",672399700
"23","ECU","1960",2069465326.41882
"24","ESP","1960",12072126075.397
"25","FIN","1960",5224102195.52771
"26","FJI","1960",112328422.113084
"27","FRA","1960",62225478000.8822
"28","GAB","1960",141468977.570007
"29","GBR","1960",73233967692.1028
"30","GHA","1960",1217230038.26781
"31","GRC","1960",4335186016.83942
"32","GTM","1960",1043599900
"33","GUY","1960",170215248.206265
"34","HND","1960",335650000
"35","HTI","1960",273187200
"36","IND","1960",37029883875.4573
"37","IRL","1960",1939329775.43739
"38","IRQ","1960",1684121534.58415
"39","ISL","1960",248434096.968726
"40","ISR","1960",2598500000
"41","ITA","1960",40385288344.1911
"42","JAM","1960",699050678.98642
"43","JPN","1960",44307342950.4
"44","KEN","1960",791265458.818076
"45","KHM","1960",637142865.714286
"46","LKA","1960",1409873949.57983
"47","LSO","1960",34579308.4138317
"48","LUX","1960",703925705.942958
"49","MAR","1960",2037150716.33238
"50","MDG","1960",673081724.076322
"51","MEX","1960",1.304e+10
"52","MWI","1960",162956740.865183
"53","MYS","1960",1916241996.60264
"54","NER","1960",449526872.565561
"55","NGA","1960",4196092258.15484
"56","NIC","1960",223854666.666667
"57","NLD","1960",12276734172.0828
"58","NOR","1960",5163271598.15702
"59","NPL","1960",508334413.965087
"60","NZL","1960",5485854791.97096
"61","PAK","1960",3749265014.69971
"62","PAN","1960",537147100
"63","PER","1960",2571908062.07692
"64","PHL","1960",6684568805.0688
"65","PNG","1960",230496032.981216
"66","PRI","1960",1691900000
"67","PRT","1960",3193200404.37297
"68","RWA","1960",119000024
"69","SDN","1960",1307333333.33333
"70","SEN","1960",1003692374.55789
"71","SGP","1960",704756304.717104
"72","SLE","1960",322009471.56704
"73","SOM","1960",180459936.776025
"74","SUR","1960",99650000
"75","SWE","1960",15822585033.5764
"76","SWZ","1960",35076158.4768305
"77","SYC","1960",12012025.2477875
"78","TCD","1960",313582727.638056
"79","TGO","1960",121128073.114022
"80","THA","1960",2760747471.88624
"81","TTO","1960",535670127.748935
"82","TUR","1960",13995067817.5092
"83","UGA","1960",423008385.744235
"84","URY","1960",1242289239.20493
"85","USA","1960",5.433e+11
"86","WLD","1960",1369443925011.89
"87","ZAF","1960",7575396972.87137
"88","ZMB","1960",7.13e+08
"89","ZWE","1960",1052990400
"90","AFG","1961",548888895.555556
"91","AUS","1961",19652816664.8001
"92","AUT","1961",7311749633.36229
"93","BDI","1961",202999992
"94","BEL","1961",12400145221.595
"95","BEN","1961",235668222.429984
"96","BFA","1961",350247237.11684
"97","BGD","1961",4817580183.60155
"98","BLZ","1961",29964370.7125857
"99","BMU","1961",89249986.7007156
"100","BOL","1961",406684585.719294
"101","BRA","1961",15236854859.469
"102","BWA","1961",32902336.644746
"103","CAF","1961",123134584.467673
"104","CAN","1961",40934952063.9468
"105","CHE","1961",10712712465.0522
"106","CHL","1961",4609727272.72727
"107","CHN","1961",50056868957.6732
"108","CMR","1961",657597382.759152
"109","COL","1961",4540447761.19403
"110","CRI","1961",490325181.614275
"111","DOM","1961",654100200
"112","ECU","1961",1753850416.70826
"113","ESP","1961",13834300571.4849
"114","FIN","1961",5921659485.03284
"115","FJI","1961",116987784.913739
"116","FRA","1961",67461644222.0352
"117","GAB","1961",167637907.381696
"118","GBR","1961",77741965703.3544
"119","GHA","1961",1302674264.19915
"120","GRC","1961",4961400439.31722
"121","GTM","1961",1076699900
"122","GUY","1961",185848451.262906
"123","HND","1961",356200000
"124","HTI","1961",271066000
"125","IND","1961",39232435784.0946
"126","IRL","1961",2088012282.35667
"127","IRQ","1961",1831700364.04369
"128","ISL","1961",253885656.329253
"129","ISR","1961",3138500000
"130","ITA","1961",44842760293.1924
"131","JAM","1961",748028839.423211
"132","JPN","1961",53508617739.3778
"133","KEN","1961",792959472.139024
"134","KHM","1961",642857134.285714
"135","LKA","1961",1444327731.09244
"136","LSO","1961",35699286.0142797
"137","LUX","1961",704145671.350213
"138","MAR","1961",2025689536.60705
"139","MDG","1961",699161943.857103
"140","MEX","1961",1.416e+10
"141","MRT","1961",159213462.493589
"142","MWI","1961",174576508.469831
"143","MYS","1961",1901868548.28172
"144","NER","1961",485785234.940376
"145","NGA","1961",4467200335.99328
"146","NIC","1961",240524723.428571
"147","NLD","1961",13493833739.9949
"148","NOR","1961",5632460936.54576
"149","NPL","1961",531959561.62226
"150","NZL","1961",5670064168.21773
"151","PAK","1961",4118647627.04746
"152","PAN","1961",599026300
"153","PER","1961",2899654840.36567
"154","PHL","1961",7256966966.22556
"155","PNG","1961",244832035.032526
"156","PRI","1961",1865100000
"157","PRT","1961",3417516639.37596
"158","RWA","1961",122000016
"159","SDN","1961",1419333333.33333
