"","Country Code","year","value"
"1","ABW","1961",2.238143931
"2","AFG","1961",1.898475653
"3","AGO","1961",1.393362766
"4","ALB","1961",3.120855371
"5","ARE","1961",8.677690744
"6","ARG","1961",1.624707689
"7","ARM","1961",3.531700015
"8","ASM","1961",2.352471898
"9","ATG","1961",1.59443322
"10","AUS","1961",1.989740046
"11","AUT","1961",0.548472356
"12","AZE","1961",3.405067384
"13","BDI","1961",1.929349432
"14","BEL","1961",0.332205946
"15","BEN","1961",1.39849454
"16","BFA","1961",1.342942567
"17","BGD","1961",2.771567051
"18","BGR","1961",0.958155881
"19","BHR","1961",3.310415782
"20","BIH","1961",1.932279396
"21","BLR","1961",0.889131363
"22","BLZ","1961",2.826169131
"23","BMU","1961",2.477477477
"24","BOL","1961",1.949961316
"25","BRA","1961",2.911132898
"26","BRB","1961",0.31899884
"27","BTN","1961",2.460871873
"28","BWA","1961",1.957853818
"29","CAF","1961",1.611669196
"30","CAN","1961",2.00112211
"31","CHE","1961",1.978615059
"32","CHL","1961",2.078593642
"33","CHN","1961",-1.015527787
"34","CMR","1961",2.066593746
"35","COL","1961",3.127272148
"36","COM","1961",1.566766203
"37","CRI","1961",3.717363895
"38","CUB","1961",2.078031047
"39","CYM","1961",2.026373533
"40","CYP","1961",0.602964435
"41","DEU","1961",0.769854344
"42","DJI","1961",5.650590348
"43","DMA","1961",1.687043804
"44","DNK","1961",0.698142052
"45","DOM","1961",3.345015486
"46","DZA","1961",2.487164805
"47","ECU","1961",2.831785956
"48","ERI","1961",2.522332065
"49","ESP","1961",0.929015535
"50","EST","1961",1.11138977
"51","ETH","1961",2.319980719
"52","FIN","1961",0.705711484
"53","FJI","1961",3.439200992
"54","FRA","1961",1.318705271
"55","GAB","1961",0.967697899
"56","GBR","1961",0.760459939
"57","GEO","1961",1.578435862
"58","GHA","1961",3.160638434
"59","GIB","1961",1.664129187
"60","GIN","1961",1.643554868
"61","GNB","1961",1.069509919
"62","GNQ","1961",1.345221054
"63","GRC","1961",0.792901847
"64","GRD","1961",1.539264305
"65","GRL","1961",3.625774802
"66","GTM","1961",2.936234518
"67","GUM","1961",1.973152864
"68","GUY","1961",3.006876299
"69","HND","1961",2.794688633
"70","HRV","1961",0.652691769
"71","HTI","1961",1.941249492
"72","HUN","1961",0.453239644
"73","IDN","1961",2.63983066
"74","IND","1961",1.99843774
"75","IRL","1961",-0.148593694
"76","IRQ","1961",2.514031726
"77","ISL","1961",1.948719743
"78","ISR","1961",3.302448041
"79","ITA","1961",0.668382874
"80","JAM","1961",1.375375269
"81","JOR","1961",4.288446361
"82","JPN","1961",2.606188325
"83","KAZ","1961",4.091001062
"84","KEN","1961",3.123293002
"85","KHM","1961",2.597673208
"86","KIR","1961",2.462038995
"87","KWT","1961",11.08814533
"88","LBN","1961",3.252883841
"89","LBR","1961",2.091666595
"90","LBY","1961",3.370704457
"91","LKA","1961",2.373369273
"92","LSO","1961",1.848398344
"93","LTU","1961",1.606574959
"94","LUX","1961",0.911525536
"95","LVA","1961",1.483626751
"96","MAR","1961",3.051854531
"97","MDA","1961",2.369505377
"98","MDG","1961",2.406310231
"99","MDV","1961",2.702867239
"100","MEX","1961",3.11265537
"101","MKD","1961",1.267371163
"102","MLI","1961",1.105868166
"103","MLT","1961",-0.398895896
"104","MNE","1961",2.173759257
"105","MNG","1961",2.753255813
"106","MNP","1961",2.630689679
"107","MOZ","1961",2.164911652
"108","MRT","1961",2.919965383
"109","MUS","1961",3.194939638
"110","MWI","1961",2.369768457
"111","MYS","1961",3.155496538
"112","NAM","1961",2.358961235
"113","NCL","1961",2.74673947
"114","NER","1961",2.838320651
"115","NGA","1961",2.028763661
"116","NIC","1961",3.144886554
"117","NLD","1961",1.315294588
"118","NOR","1961",0.794353923
"119","NPL","1961",1.592528255
"120","NRU","1961",5.708222046
"121","NZL","1961",1.999440499
"122","OMN","1961",2.355941186
"123","PAK","1961",2.364733235
"124","PAN","1961",2.966684389
"125","PER","1961",2.831080898
"126","PHL","1961",3.336637326
"127","PNG","1961",1.809877737
"128","POL","1961",1.095789675
"129","PRI","1961",1.75390952
"130","PRT","1961",0.805085264
"131","PRY","1961",2.621148212
"132","PYF","1961",3.313021067
"133","QAT","1961",8.176203036
"134","ROU","1961",0.802690192
"135","RWA","1961",2.114806936
"136","SAU","1961",3.186488861
"137","SDN","1961",2.938586744
"138","SEN","1961",2.72328833
"139","SGP","1961",3.344793407
"140","SLB","1961",2.950549911
"141","SLE","1961",1.48726542
"142","SLV","1961",2.860593661
"143","SOM","1961",2.087869756
"144","SSD","1961",1.843132279
"145","STP","1961",0.46546351
"146","SUR","1961",2.755650286
"147","SVN","1961",0.592102461
"148","SWE","1961",0.471081377
"149","SWZ","1961",1.989099713
"150","SYC","1961",2.811425399
"151","TCA","1961",0.854852188
"152","TCD","1961",1.938669195
"153","TGO","1961",1.070670468
"154","THA","1961",2.973823148
"155","TJK","1961",3.395610888
"156","TKM","1961",3.379255933
"157","TON","1961",3.413158947
"158","TTO","1961",1.966320884
"159","TUN","1961",1.423581776
"160","TUR","1961",2.425771715
"161","TZA","1961",2.888059741
"162","UGA","1961",3.152386276
"163","UKR","1961",1.261660408
"164","URY","1961",1.293008439
"165","USA","1961",1.657730037
"166","UZB","1961",3.314229421
"167","VGB","1961",1.467803102
"168","VNM","1961",3.003327401
"169","VUT","1961",3.116316289
"170","WLD","1961",1.353919828
"171","WSM","1961",3.149752527
"172","XKX","1961",1.986474103
"173","ZAF","1961",2.453267818
"174","ZMB","1961",3.001072841
"175","ZWE","1961",3.342090844
"176","ABW","1962",1.409621865
"177","AFG","1962",1.965750511
"178","AGO","1962",1.383629325
"179","ALB","1962",3.056730503
"180","ARE","1962",10.64532158
"181","ARG","1962",1.600145916
"182","ARM","1962",3.444212371
"183","ASM","1962",3.110990342
"184","ATG","1962",1.515699972
"185","AUS","1962",2.440639401
"186","AUT","1962",0.612895848
"187","AZE","1962",3.441167027
"188","BDI","1962",1.90579714
"189","BEL","1962",0.398054787
"190","BEN","1962",1.490499165
"191","BFA","1962",1.334299392
"192","BGD","1962",2.77561443
"193","BGR","1962",0.875259034
"194","BHR","1962",3.079079032
"195","BIH","1962",1.9460013
"196","BLR","1962",0.97108747
"197","BLZ","1962",2.791624743
"198","BMU","1962",2.417582418
"199","BOL","1962",1.965715235
"200","BRA","1962",2.921441247
"201","BRB","1962",0.39409894
"202","BTN","1962",2.46147018
"203","BWA","1962",2.140630894
"204","CAF","1962",1.679324813
"205","CAN","1962",1.859888233
"206","CHE","1962",2.535012537
"207","CHL","1962",2.062989698
"208","CHN","1962",0.820455549
"209","CMR","1962",2.128771953
"210","COL","1962",3.120220554
"211","COM","1962",1.563390278
"212","CRI","1962",3.70635185
"213","CUB","1962",2.202094579
"214","CYM","1962",1.484073738
"215","CYP","1962",0.224593409
"216","DEU","1962",0.879431692
"217","DJI","1962",6.248269064
"218","DMA","1962",1.544570352
"219","DNK","1962",0.778454922
"220","DOM","1962",3.312936561
"221","DZA","1962",2.469954258
"222","ECU","1962",2.84789233
"223","ERI","1962",2.59426321
"224","ESP","1962",0.920032287
"225","EST","1962",1.34156956
"226","ETH","1962",2.397879407
"227","FIN","1962",0.6799954
"228","FJI","1962",3.478636793
"229","FRA","1962",1.396482976
"230","GAB","1962",1.079171921
"231","GBR","1962",0.848661388
"232","GEO","1962",1.519342186
"233","GHA","1962",3.213950847
"234","GIB","1962",2.077953668
"235","GIN","1962",1.657441438
"236","GNB","1962",0.978241228
"237","GNQ","1962",1.315924634
"238","GRC","1962",0.595777103
"239","GRD","1962",1.258918433
"240","GRL","1962",3.785022413
"241","GTM","1962",2.936142319
"242","GUM","1962",2.225606841
"243","GUY","1962",2.845890182
"244","HND","1962",2.78650295
"245","HRV","1962",0.703493717
"246","HTI","1962",1.940215743
"247","HUN","1962",0.322661285
"248","IDN","1962",2.650495524
"249","IND","1962",2.031905454
"250","IRL","1962",0.411628632
"251","IRQ","1962",2.625571872
"252","ISL","1962",1.853365244
"253","ISR","1962",4.824517533
"254","ITA","1962",0.67662299
"255","JAM","1962",1.528350382
"256","JOR","1962",3.695789962
"257","JPN","1962",0.93199469
"258","KAZ","1962",3.862011236
