"","Country Code","Year","Count"
"1","AFG",1979,13411056
"2","AFG",1994,17075727
"3","AFG",2004,24726684
"4","AFG",1977,13171306
"5","AFG",2003,23680871
"6","AFG",2014,33370794
"7","AFG",1978,13341198
"8","AFG",1999,20170844
"9","AFG",2012,31161376
"10","AFG",1985,11938208
"11","AFG",1993,15816603
"12","AFG",1989,11868877
"13","AFG",2017,36296400
"14","AFG",1968,10637063
"15","AFG",1996,18853437
"16","AFG",2007,27100536
"17","AFG",1967,10399926
"18","AFG",2009,28394813
"19","AFG",1980,13356511
"20","AFG",1986,11736179
"21","AFG",1976,12943093
"22","AFG",2000,20779953
"23","AFG",1984,12204292
"24","AFG",1966,10174836
"25","AFG",1995,18110657
"26","AFG",2013,32269589
"27","AFG",1992,14485546
"28","AFG",2008,27722276
"29","AFG",1987,11604534
"30","AFG",1998,19737765
"31","AFG",1975,12689160
"32","AFG",1972,11791215
"33","AFG",1961,9169410
"34","AFG",2006,26433049
"35","AFG",1965,9956320
"36","AFG",1970,11173642
"37","AFG",2002,22600770
"38","AFG",1991,13299017
"39","AFG",2011,30117413
"40","AFG",1960,8996973
"41","AFG",1974,12412950
"42","AFG",1990,12412308
"43","AFG",1962,9351441
"44","AFG",1969,10893776
"45","AFG",1983,12537730
"46","AFG",1997,19357126
"47","AFG",2010,29185507
"48","AFG",1963,9543205
"49","AFG",1971,11475445
"50","AFG",1981,13171673
"51","AFG",1973,12108963
"52","AFG",1964,9744781
"53","AFG",1982,12882528
"54","AFG",1988,11618005
"55","AFG",2016,35383128
"56","AFG",2001,21606988
"57","AFG",2005,25654277
"58","AFG",2015,34413603
"59","ALB",1980,2671997
"60","ALB",1974,2350124
"61","ALB",1998,3128530
"62","ALB",1969,2081695
"63","ALB",1997,3148281
"64","ALB",1965,1864791
"65","ALB",2013,2895092
"66","ALB",1976,2458526
"67","ALB",1966,1914573
"68","ALB",1968,2022272
"69","ALB",1986,3022635
"70","ALB",2007,2970017
"71","ALB",1988,3142336
"72","ALB",2009,2927519
"73","ALB",1985,2964762
"74","ALB",1983,2843960
"75","ALB",1989,3227943
"76","ALB",2002,3051010
"77","ALB",1987,3083605
"78","ALB",1979,2617832
"79","ALB",1961,1659800
"80","ALB",1991,3266790
"81","ALB",1964,1814135
"82","ALB",2011,2905195
"83","ALB",1973,2296752
"84","ALB",1962,1711319
"85","ALB",1978,2566266
"86","ALB",1995,3187784
"87","ALB",1994,3207536
"88","ALB",2004,3026939
"89","ALB",1993,3227287
"90","ALB",1970,2135479
"91","ALB",1992,3247039
"92","ALB",1982,2784278
"93","ALB",2001,3060173
"94","ALB",2014,2889104
"95","ALB",1999,3108778
"96","ALB",2005,3011487
"97","ALB",1981,2726056
"98","ALB",1975,2404831
"99","ALB",2008,2947314
"100","ALB",1960,1608800
"101","ALB",2006,2992547
"102","ALB",2012,2900401
"103","ALB",2003,3039616
"104","ALB",1963,1762621
"105","ALB",2010,2913021
"106","ALB",1996,3168033
"107","ALB",2015,2880703
"108","ALB",2017,2873457
"109","ALB",2016,2876101
"110","ALB",1984,2904429
"111","ALB",1967,1965598
"112","ALB",1972,2243126
"113","ALB",1990,3286542
"114","ALB",1971,2187853
"115","ALB",1977,2513546
"116","ALB",2000,3089027
"117","DZA",1997,29742979
"118","DZA",1967,13275026
"119","DZA",1979,18647815
"120","DZA",1980,19221665
"121","DZA",1992,27028326
"122","DZA",2012,37383887
"123","DZA",1982,20452902
"124","DZA",1984,21763575
"125","DZA",1974,16149025
"126","DZA",1996,29266405
"127","DZA",1965,12550885
"128","DZA",1981,19824301
"129","DZA",2001,31451514
"130","DZA",1983,21101875
"131","DZA",1998,30192754
"132","DZA",2011,36661444
"133","DZA",1988,24443467
"134","DZA",1986,23102389
"135","DZA",2016,40551404
"136","DZA",2015,39728025
"137","DZA",1973,15709825
"138","DZA",1975,16607707
"139","DZA",1993,27635515
"140","DZA",1994,28213774
"141","DZA",1968,13663583
"142","DZA",1972,15285990
"143","DZA",1985,22431502
"144","DZA",1977,17582904
"145","DZA",2010,35977455
"146","DZA",1962,11619828
"147","DZA",1971,14872250
"148","DZA",2004,32692163
"149","DZA",2017,41389198
"150","DZA",2006,33641002
"151","DZA",1961,11336339
"152","DZA",1969,14061722
"153","DZA",2005,33149724
"154","DZA",1978,18102266
"155","DZA",1987,23774284
"156","DZA",2009,35333881
"157","DZA",1966,12902627
"158","DZA",1963,11912803
"159","DZA",2000,31042235
"160","DZA",2013,38140132
"161","DZA",1970,14464985
"162","DZA",2014,38923687
"163","DZA",1991,26400479
"164","DZA",1964,12221675
"165","DZA",2007,34166972
"166","DZA",1999,30623406
"167","DZA",1960,11057863
"168","DZA",1989,25106190
"169","DZA",1995,28757785
"170","DZA",2002,31855109
"171","DZA",2003,32264157
"172","DZA",1990,25758869
"173","DZA",2008,34730608
"174","DZA",1976,17085801
"175","ASM",2017,55620
"176","ASM",1970,27363
"177","ASM",1965,23672
"178","ASM",2007,58365
"179","ASM",1971,27984
"180","ASM",1982,34968
"181","ASM",2012,55667
"182","ASM",1961,20602
"183","ASM",1980,32646
