"","Country Name","Country Code","Indicator Name","Indicator Code","year","value"
"1","Aruba","ABW","Population growth (annual %)","SP.POP.GROW","1960",NA
"2","Afghanistan","AFG","Population growth (annual %)","SP.POP.GROW","1960",NA
"3","Angola","AGO","Population growth (annual %)","SP.POP.GROW","1960",NA
"4","Albania","ALB","Population growth (annual %)","SP.POP.GROW","1960",NA
"5","Andorra","AND","Population growth (annual %)","SP.POP.GROW","1960",NA
"6","Arab World","ARB","Population growth (annual %)","SP.POP.GROW","1960",NA
"7","United Arab Emirates","ARE","Population growth (annual %)","SP.POP.GROW","1960",NA
"8","Argentina","ARG","Population growth (annual %)","SP.POP.GROW","1960",NA
"9","Armenia","ARM","Population growth (annual %)","SP.POP.GROW","1960",NA
"10","American Samoa","ASM","Population growth (annual %)","SP.POP.GROW","1960",NA
"11","Antigua and Barbuda","ATG","Population growth (annual %)","SP.POP.GROW","1960",NA
"12","Australia","AUS","Population growth (annual %)","SP.POP.GROW","1960",NA
"13","Austria","AUT","Population growth (annual %)","SP.POP.GROW","1960",NA
"14","Azerbaijan","AZE","Population growth (annual %)","SP.POP.GROW","1960",NA
"15","Burundi","BDI","Population growth (annual %)","SP.POP.GROW","1960",NA
"16","Belgium","BEL","Population growth (annual %)","SP.POP.GROW","1960",NA
"17","Benin","BEN","Population growth (annual %)","SP.POP.GROW","1960",NA
"18","Burkina Faso","BFA","Population growth (annual %)","SP.POP.GROW","1960",NA
"19","Bangladesh","BGD","Population growth (annual %)","SP.POP.GROW","1960",NA
"20","Bulgaria","BGR","Population growth (annual %)","SP.POP.GROW","1960",NA
"21","Bahrain","BHR","Population growth (annual %)","SP.POP.GROW","1960",NA
"22","Bahamas, The","BHS","Population growth (annual %)","SP.POP.GROW","1960",NA
"23","Bosnia and Herzegovina","BIH","Population growth (annual %)","SP.POP.GROW","1960",NA
"24","Belarus","BLR","Population growth (annual %)","SP.POP.GROW","1960",NA
"25","Belize","BLZ","Population growth (annual %)","SP.POP.GROW","1960",NA
"26","Bermuda","BMU","Population growth (annual %)","SP.POP.GROW","1960",NA
"27","Bolivia","BOL","Population growth (annual %)","SP.POP.GROW","1960",NA
"28","Brazil","BRA","Population growth (annual %)","SP.POP.GROW","1960",NA
"29","Barbados","BRB","Population growth (annual %)","SP.POP.GROW","1960",NA
"30","Brunei Darussalam","BRN","Population growth (annual %)","SP.POP.GROW","1960",NA
"31","Bhutan","BTN","Population growth (annual %)","SP.POP.GROW","1960",NA
"32","Botswana","BWA","Population growth (annual %)","SP.POP.GROW","1960",NA
"33","Central African Republic","CAF","Population growth (annual %)","SP.POP.GROW","1960",NA
"34","Canada","CAN","Population growth (annual %)","SP.POP.GROW","1960",NA
"35","Central Europe and the Baltics","CEB","Population growth (annual %)","SP.POP.GROW","1960",NA
"36","Switzerland","CHE","Population growth (annual %)","SP.POP.GROW","1960",NA
"37","Channel Islands","CHI","Population growth (annual %)","SP.POP.GROW","1960",NA
"38","Chile","CHL","Population growth (annual %)","SP.POP.GROW","1960",NA
"39","China","CHN","Population growth (annual %)","SP.POP.GROW","1960",NA
"40","Cote d'Ivoire","CIV","Population growth (annual %)","SP.POP.GROW","1960",NA
"41","Cameroon","CMR","Population growth (annual %)","SP.POP.GROW","1960",NA
